experiment_id,condition_id,communication_enabled,payoff_observability,sequence_id,sequence_index,episode_id,episode_index,mode,persist_memory,first_speaker,status,model_a,model_b,final_a,final_b,payoff_a,payoff_b,welfare,outcome,cooperative_message_a,cooperative_message_b,cooperative_message_aligned_a,cooperative_message_aligned_b,message_count,token_count,created_at
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-2,2,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-2-ep-1,1,sequence,false,A,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,false,true,,true,4,5159,2026-06-30T11:36:25.979Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-4,4,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-4-ep-1,1,sequence,false,B,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,false,false,,,6,7074,2026-06-30T11:36:28.751Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-3,3,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-3-ep-1,1,sequence,false,A,finished,gpt-4.1-mini,gpt-4.1-mini,C,D,0,5,5,CD,true,true,true,false,6,7005,2026-06-30T11:36:28.752Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-1,1,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-1-ep-1,1,sequence,false,A,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,false,false,,,8,9513,2026-06-30T11:36:31.652Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-4,4,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-4-ep-2,2,sequence,false,A,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,false,false,,,4,4919,2026-06-30T11:36:36.324Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-3,3,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-3-ep-2,2,sequence,false,B,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,true,true,true,true,4,5276,2026-06-30T11:36:38.165Z
2026-06-30T11-36-17-180Z-security-payoff-observability,private_communication,true,private,2026-06-30T11-36-17-180Z-security-payoff-observability-private_communication-seq-4,4,2026-06-30T11-36-17-180Z-security-payoff-observability-private_communication-seq-4-ep-1,1,sequence,false,A,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,true,true,true,true,12,16359,2026-06-30T11:36:39.217Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-2,2,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-2-ep-2,2,sequence,false,B,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,true,true,true,true,7,9207,2026-06-30T11:36:40.745Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-1,1,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-1-ep-2,2,sequence,false,B,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,false,true,,true,4,5221,2026-06-30T11:36:41.745Z
2026-06-30T11-36-17-180Z-security-payoff-observability,private_communication,true,private,2026-06-30T11-36-17-180Z-security-payoff-observability-private_communication-seq-2,2,2026-06-30T11-36-17-180Z-security-payoff-observability-private_communication-seq-2-ep-1,1,sequence,false,A,finished,gpt-4.1-mini,gpt-4.1-mini,C,D,0,5,5,CD,false,true,,false,12,17667,2026-06-30T11:36:43.843Z
2026-06-30T11-36-17-180Z-security-payoff-observability,private_communication,true,private,2026-06-30T11-36-17-180Z-security-payoff-observability-private_communication-seq-1,1,2026-06-30T11-36-17-180Z-security-payoff-observability-private_communication-seq-1-ep-1,1,sequence,false,B,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,true,true,true,true,12,16844,2026-06-30T11:36:44.261Z
2026-06-30T11-36-17-180Z-security-payoff-observability,private_communication,true,private,2026-06-30T11-36-17-180Z-security-payoff-observability-private_communication-seq-3,3,2026-06-30T11-36-17-180Z-security-payoff-observability-private_communication-seq-3-ep-1,1,sequence,false,A,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,true,true,true,true,12,17767,2026-06-30T11:36:44.782Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-3,3,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-3-ep-3,3,sequence,false,A,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,true,true,true,true,7,8579,2026-06-30T11:36:51.613Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-1,1,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-1-ep-3,3,sequence,false,A,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,true,true,true,true,4,5008,2026-06-30T11:36:51.798Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-2,2,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-2-ep-3,3,sequence,false,B,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,false,false,,,9,11199,2026-06-30T11:36:55.837Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-3,3,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-3-ep-4,4,sequence,false,A,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,true,false,true,,3,4082,2026-06-30T11:37:04.224Z
2026-06-30T11-36-17-180Z-security-payoff-observability,public_communication,true,public,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-1,1,2026-06-30T11-36-17-180Z-security-payoff-observability-public_communication-seq-1-ep-4,4,sequence,false,B,finished,gpt-4.1-mini,gpt-4.1-mini,C,D,0,5,5,CD,true,true,true,false,3,4018,2026-06-30T11:37:10.869Z
2026-06-30T11-36-17-180Z-security-payoff-observability,private_communication,true,private,2026-06-30T11-36-17-180Z-security-payoff-observability-private_communication-seq-1,1,2026-06-30T11-36-17-180Z-security-payoff-observability-private_communication-seq-1-ep-2,2,sequence,false,B,finished,gpt-4.1-mini,gpt-4.1-mini,C,C,3,3,6,CC,true,true,true,true,12,18829,2026-06-30T11:37:13.084Z
